Team,T/O,Punt,Oth,Poss,TD,FG,FGM,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,Opp_2&O_2&O,Opp_2&O_%
BC,2,16,1,25,1,3,2,2,0,14,1,7,0,1,0,0,0,1,0,8,32%
CGY,5,15,2,29,3,3,1,7,2,14,1,5,0,0,0,2,0,1,0,14,48%
EDM,4,10,2,28,2,8,2,10,0,11,0,3,1,2,0,2,1,0,0,9,32%
HAM,4,11,1,29,8,5,0,6,1,10,4,8,2,1,0,4,1,0,0,11,38%
MTL,5,6,0,15,0,4,0,4,0,10,0,1,0,0,0,0,0,0,0,10,67%
OTT,2,19,2,31,3,5,0,5,0,17,1,6,1,1,0,1,1,1,0,8,26%
SSK,3,12,3,27,6,3,0,2,1,18,4,5,0,0,0,2,1,0,0,10,37%
TOR,2,8,2,14,2,0,0,3,0,7,1,2,0,2,1,0,0,0,0,6,43%
WPG,6,10,1,26,5,3,1,3,0,14,3,5,0,2,1,1,0,1,1,9,35%
CFL,33,107,14,224,30,34,6,42,4,115,15,42,4,9,2,12,4,4,1,85,38%
