Team,Acc,Decl,YDS,GP,ALL,Avg,Off,Def,SpTm,ST_cover_Punt,ST_cover_K/Os,ST_return_PtR,ST_return_KOR
BC,16,0,176,2,16,8.0,4,3,7,4,0,3,0
CGY,17,2,143,2,19,9.5,6,7,6,0,2,3,1
EDM,15,3,166,2,18,9.0,7,7,4,4,0,0,0
HAM,22,2,231,2,24,12.0,5,8,11,3,3,4,1
MTL,9,0,90,1,9,9.0,1,5,3,0,0,3,0
OTT,8,2,81,2,10,5.0,5,2,3,1,1,1,0
SSK,11,2,126,2,13,6.5,4,5,4,2,0,1,1
TOR,9,0,74,1,9,9.0,6,1,2,1,0,1,0
WPG,6,2,72,2,8,4.0,4,2,2,1,0,1,0
CFL,113,13,"1,159",2023,126,15.8,42,40,42,16,6,17,3
