TM,1st_down_plays,1st_down_avg_yds,Opp_1st_down_plays,Opp_1st_down_avg_yds,1st_down_rush_calls,1st_down_pass_calls
BC,71,7.72,48,4.77,31,40
CGY,61,6.52,64,7.19,27,34
EDM,46,6.61,68,5.82,18,28
HAM,65,5.74,68,8.32,23,42
MTL,27,5.63,29,4.21,17,10
OTT,57,5.16,59,6.86,17,40
SSK,63,2.49,60,6.48,18,45
TOR,30,8.33,34,5.24,18,12
WPG,71,6.83,61,3.54,35,36
CFL,491,6.03,491,6.03,204,287
