Team,GP,Yards,yds_per_game,Off_plays,yds_per_play,Rush_plays,Oth_TLs_Plays,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,1,249,249.0,52,4.79,13,0,165,95,-11,25%,75%,0%,36,3
CGY,1,421,421.0,62,6.79,24,2,300,123,-2,39%,58%,3%,36,0
EDM,1,305,305.0,59,5.17,23,0,179,135,-9,39%,61%,0%,34,2
HAM,1,471,471.0,63,7.48,29,3,354,145,-28,46%,49%,5%,30,1
MTL,1,220,220.0,53,4.15,16,1,177,54,-11,30%,68%,2%,35,1
OTT,1,265,265.0,50,5.30,22,2,261,64,-60,44%,52%,4%,20,6
SSK,1,243,243.0,46,5.28,16,0,202,73,-32,35%,65%,0%,25,5
TOR,0,0,,0,,0,0,0,0,0,,,,0,0
WPG,1,234,234.0,48,4.88,11,1,200,66,-32,23%,75%,2%,33,3
CFL,4,"2,408",602.0,433,5.56,154,9,"1,838",755,-185,36%,62%,2%,249,21
