Team,Acc,Decl,YDS,GP,ALL,Avg,Off,Def,SpTm,ST_cover_Punt,ST_cover_K/Os,ST_return_PtR,ST_return_KOR
BC,7,0,86,1,7,7.0,2,1,4,4,0,0,0
CGY,6,1,55,1,7,7.0,2,5,0,0,0,0,0
EDM,7,3,85,1,10,10.0,3,6,1,1,0,0,0
HAM,15,2,140,1,17,17.0,4,4,9,3,3,2,1
MTL,9,0,90,1,9,9.0,1,5,3,0,0,3,0
OTT,5,0,55,1,5,5.0,2,2,1,0,1,0,0
SSK,5,1,56,1,6,6.0,1,2,3,2,0,1,0
TOR,0,0,0,0,0,0,0,0,0,0,0,0,0
WPG,3,0,37,1,3,3.0,1,1,1,0,0,1,0
CFL,57,7,604,2023,64,16.0,16,26,22,10,4,7,1
