Team,GP,W,L,Pct,PF,PA,Diff,HOME_W,HOME_L,AWAY_W,AWAY_L,LAST-3:00_W,LAST-3:00_L,0-4_W,0-4_L,5-10_W,5-10_L,11-19_W,11-19_L,20+_W,20+_L
BC,1,1,0,1.0,25.0,15.0,10.0,0,0,1,0,1,0,0,0,1.0,0.0,0,0.0,0,0.0
CGY,1,0,1,0.0,15.0,25.0,-10.0,0,1,0,0,0,1,0,0,0.0,1.0,0,0.0,0,0.0
EDM,1,0,1,0.0,13.0,17.0,-4.0,0,1,0,0,0,1,0,1,0.0,0.0,0,0.0,0,0.0
HAM,1,0,1,0.0,31.0,42.0,-11.0,0,0,0,1,0,0,0,0,0.0,0.0,0,1.0,0,0.0
MTL,1,1,0,1.0,19.0,12.0,7.0,1,0,0,0,1,0,0,0,1.0,0.0,0,0.0,0,0.0
OTT,1,0,1,0.0,12.0,19.0,-7.0,0,0,0,1,0,1,0,0,0.0,1.0,0,0.0,0,0.0
SSK,1,1,0,1.0,17.0,13.0,4.0,0,0,1,0,1,0,1,0,0.0,0.0,0,0.0,0,0.0
TOR,0,0,0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0
WPG,1,1,0,1.0,42.0,31.0,11.0,1,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0,0.0
2023 Total,4,4,4,0.5,43.5,,,2,2,2,2,3,3,1,2,,,1,,0,
