Team,OPP_Tot,Diff,Total,20+_Rush,30+_Pass,Punt_Rets,K/O_Rets,FGM_Rets,Opp_off_20+_Rush,Opp_off_30+_Pass,Opp_kick_Punt_Rets,Opp_kick_K/O_Rets,Opp_kick_FGM_Ret
BC,1,+2,3,0,1,0,0,2,0,0,0,1,0
CGY,3,-2,1,0,0,0,1,0,0,1,0,0,2
EDM,3,-1,2,1,1,0,0,0,1,1,0,1,0
HAM,6,-3,3,0,2,0,1,0,1,4,0,1,0
MTL,1,+2,3,0,3,0,0,0,0,1,0,0,0
OTT,3,-2,1,0,1,0,0,0,0,3,0,0,0
SSK,2,+1,3,1,1,0,1,0,1,1,0,0,0
TOR,0,0,0,0,0,0,0,0,0,0,0,0,0
WPG,3,+3,6,1,4,0,1,0,0,2,0,1,0
CFL,22,0,22,3,13,0,4,2,3,13,0,4,2
