Team,C1,C2,FG,Sgl,S/T,FR,PR,KOR,FGM,TD,Team_TDs_Rush,Team_TDs_Pass,Team_TDs_Int,Team_points_Q1,Team_points_Q2,Team_points_Q3,Team_points_Q4,Team_points_OT
BC,2,0,1,2,0,0,0,0,0,3,1,2,0,7,6,1,11,0
CGY,0,0,3,0,0,0,0,0,0,1,0,1,0,0,3,3,9,0
EDM,1,0,2,0,0,0,0,0,0,1,0,1,0,3,7,3,0,0
HAM,1,1,1,1,0,2,0,0,0,4,1,1,0,4,0,13,14,0
MTL,1,0,4,0,0,0,0,0,0,1,1,0,0,10,0,3,6,0
OTT,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0
SSK,1,0,3,1,0,0,0,0,0,1,0,1,0,7,3,4,3,0
TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WPG,4,0,4,0,1,0,0,0,0,4,1,3,0,21,8,10,3,0
CFL,10,1,22,4,1,2,0,0,0,15,4,9,0,52,33,40,49,0
