Team,1st_downs_made_Pen,1st_downs_made_Total,1st_downs_made_Rush,1st_downs_made_Pass,Opp_1st_downs_made_Total,Opp_1st_downs_made_Rush,Opp_1st_downs_made_Pass,Opp_1st_downs_made_Pen
BC,1,27,11,15,16,5,10,1
CGY,1,16,5,10,27,11,15,1
EDM,1,12,3,8,19,7,10,2
HAM,1,13,6,6,26,7,17,2
MTL,1,14,4,9,15,2,11,2
OTT,2,15,2,11,14,4,9,1
SSK,2,19,7,10,12,3,8,1
TOR,0,0,0,0,0,0,0,0
WPG,2,26,7,17,13,6,6,1
CFL,11,142,45,86,142,45,86,11
