Team,C2,FG,Sgl,S/T,Oppt_TDs_PR,Oppt_TDs_KOR,Oppt_TDs_FGM,TD,C1,Oppt_TDs_Rush,Oppt_TDs_Pass,Oppt_TDs_Int,Oppt_TDs_FR,Oppt_points_Q1,Oppt_points_Q2,Oppt_points_Q3,Oppt_points_Q4,Oppt_points_OT
BC,0,3,0,0,0,0,0,1,0,0,1,0,0,0,3,3,9,0
CGY,0,1,2,0,0,0,0,3,2,1,2,0,0,7,6,1,11,0
EDM,0,3,1,0,0,0,0,1,1,0,1,0,0,7,3,4,3,0
HAM,0,4,0,1,0,0,0,4,4,1,3,0,0,21,8,10,3,0
MTL,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0
OTT,0,4,0,0,0,0,0,1,1,1,0,0,0,10,0,3,6,0
SSK,0,2,0,0,0,0,0,1,1,0,1,0,0,3,7,3,0,0
TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WPG,1,1,1,0,0,0,0,4,1,1,1,0,2,4,0,13,14,0
CFL,1,22,4,1,0,0,0,15,10,4,9,0,2,52,33,40,49,0
