Team,Opp_Fail,Att,Md,Fail,Opp_Att,Opp_Md
BC,0,1,1,0,0,0
CGY,0,0,0,0,1,1
EDM,0,2,1,1,1,1
HAM,1,0,0,0,3,2
MTL,0,1,0,1,1,1
OTT,1,1,1,0,1,0
SSK,1,1,1,0,2,1
TOR,0,0,0,0,0,0
WPG,0,3,2,1,0,0
CFL,3,9,6,3,9,6
