Team,LG,S,FG Atts,FGA,Md,%,<40_yds_FGA,<40_yds_Md,<40_yds_%,40+_yds_FGA,40+_yds_Md,40+_yds_%,50+_yds_FGA,50+_yds_Md,FG_made_Yards,FG_made_Avg,FG_att_Yards,FG_att_Avg
BC,51,0,Atts 65,29,28,96.55172413793103,14,14,100.0,15,14,93.3,2,1,967,34.5,"1,019",35.1
CGY,53,0,Made 59,38,33,86.8421052631579,17,16,94.1,21,17,81.0,7,6,"1,244",37.7,"1,470",38.7
EDM,45,1,% 91%,12,9,75.0,7,6,85.7,5,3,60.0,0,0,263,29.2,389,32.4
HAM,50,2,,24,20,83.33333333333334,18,17,94.4,6,3,50.0,2,1,566,28.3,741,30.9
MTL,51,1,,31,26,83.87096774193549,17,15,88.2,14,11,78.6,3,3,907,34.9,"1,114",35.9
OTT,54,1,,30,28,93.33333333333333,17,17,100.0,13,11,84.6,6,5,951,34.0,"1,048",34.9
SSK,54,1,,27,23,85.18518518518519,18,17,94.4,9,6,66.7,5,2,684,29.7,874,32.4
TOR,47,1,,14,13,92.85714285714286,10,10,100.0,4,3,75.0,1,0,412,31.7,455,32.5
WPG,53,0,,24,24,100.0,15,16,106.7,8,8,100.0,3,3,743,32.3,788,32.8
CFL,54,7,,229,204,89.08296943231441,133,128,96.2,95,76,80.0,29,21,"6,737",33.2,"7,898",34.5
