Team,Punt_returns_TD,Punt_returns_30+,Punt_returns_10+,Kickoff_returns_40+,Rk,30,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,0,2,,1,2,2,5,54,581,10.8,44,29,669,23.1,62,0,3,94,48,0,0,0,0,0
CGY,0,3,,2,5,1,6,54,656,12.1,45,38,810,21.3,47,0,3,135,86,0,0,0,0,0
EDM,0,2,,2,T6,1,5,44,429,9.8,52,37,768,20.8,72,0,3,57,30,0,0,0,0,0
HAM,0,2,,4,3,1,7,38,386,10.2,39,38,861,22.7,71,0,1,47,47,0,0,0,0,0
MTL,1,1,,0,8,0,1,42,354,8.4,77,32,654,20.4,36,0,1,12,12,0,1,0,0,1
OTT,1,3,,0,4,0,3,55,560,10.2,79,39,834,21.4,39,0,0,0,0,0,1,0,0,1
SSK,2,2,,2,1,0,4,58,607,10.5,94,42,974,23.2,82,0,1,29,29,0,2,0,0,2
TOR,3,6,,0,9,0,6,48,690,14.4,91,25,411,16.4,32,0,0,0,0,0,3,0,0,3
WPG,1,1,,3,T6,1,5,44,474,10.8,92,23,479,20.8,43,0,4,185,102,0,1,0,0,1
CFL,8,22,184,14,,6,42,437,"4,737",10.8,94,303,"6,460",21.3,82,0,16,559,102,0,8,0,0,8
