Team,Yards,Int,TD,LG,30+,2D_conversions,Yds_per_game,Avg_depth,Yds,SA,Esc_runs,Dropbacks,Att,Com,complete%,Effic,IC%,Avg,YAC,TDI
BC,"3,061",13,19,78,14,64,340,13.1,"4,474",29,17,387,341,230,67.4,98.4,3.8,9.0,918,1.46
CGY,"2,411",13,8,95,17,53,241,8.8,"2,953",18,11,363,334,205,61.4,75.1,3.9,7.2,"1,061",0.62
EDM,"2,245",14,11,102,14,39,225,9.6,"2,624",24,25,322,273,169,61.9,80.0,5.1,8.2,993,0.79
HAM,"2,343",15,6,75,10,57,260,10.9,"3,315",24,14,341,303,192,63.4,73.1,5.0,7.7,942,0.40
MTL,"2,359",8,9,69,22,54,262,10.1,"2,532",35,24,310,251,168,66.9,95.7,3.2,9.4,"1,121",1.13
OTT,"2,058",11,6,55,8,55,206,9.5,"2,692",41,44,368,283,187,66.1,78.3,3.9,7.3,835,0.55
SSK,"2,744",9,13,60,17,57,274,10.6,"3,650",31,17,392,344,230,66.9,92.7,2.6,8.0,916,1.44
TOR,"2,104",6,13,76,17,38,263,12.1,"2,414",10,8,217,199,137,68.8,112.7,3.0,10.6,807,2.17
WPG,"2,877",6,21,71,24,58,288,11.7,"3,364",24,4,315,287,197,68.6,116.7,2.1,10.0,"1,067",3.50
CFL,"22,202",95,106,102,143,475,516,10.7,"28,018",236,164,"3,015","2,615","1,715",65.6,90.5,3.6,8.5,"8,660",1.12
