Team,,C2,FG,Sgl,S/T,TM_TDs_FR,TM_TDs_PR,TM_TDs_KOR,TM_TDs_FGM,TD,C1,Team_TDs_Rush,Team_TDs_Pass,Team_TDs_Int,Team_points_Q1,Team_points_Q2,Team_points_Q3,Team_points_Q4,Team_points_OT
BC,,0,28,6,0,2,0,0,0,25,22,4,19,0,62,82,42,76,0
CGY,,1,33,3,0,2,0,0,0,17,11,7,8,0,46,66,41,55,9
EDM,,1,9,7,0,0,0,0,0,18,14,5,11,2,36,49,39,34,0
HAM,,2,20,3,0,2,0,0,0,16,7,7,6,1,19,51,59,41,0
MTL,,1,26,1,0,1,1,0,0,21,17,8,9,2,37,57,46,85,0
OTT,,5,28,3,0,1,1,0,0,20,14,9,6,3,45,77,33,62,14
SSK,,1,23,3,0,0,2,0,0,20,16,5,13,0,41,42,58,63,6
TOR,,2,13,6,0,0,3,0,0,32,27,13,13,3,63,85,57,63,0
WPG,,0,23,3,2,0,1,0,0,32,29,9,21,1,69,71,94,60,3
CFL,,13,203,35,2,8,8,0,0,201,157,67,106,12,418,580,469,539,32
