Team,LG,S,Rec,Oppt_returns_TD,Oppt_returns_40+,Rank,No,Yards,Avg,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Regular_K/Os_No,Regular_K/Os_Yards,Regular_K/Os_Avg,Oppt_start_YdL,Oppt_start_Av_YL
BC,79,1,0,0,2,5,39,"2,433",62.4,38,758,19.9,82,38,"2,423",63.8,"1,362",35.8
CGY,82,0,0,0,1,4,29,"1,920",66.2,29,622,21.4,42,29,"1,920",66.2,"1,019",36.4
EDM,100,1,1,0,2,9,28,"1,534",54.8,25,384,15.4,62,28,"1,534",54.8,"1,094",42.1
HAM,79,0,0,0,2,8,30,"1,774",59.1,27,524,19.4,43,29,"1,761",60.7,"1,179",40.7
MTL,77,0,0,0,0,3,34,"2,265",66.6,34,749,22.0,37,34,"2,265",66.6,"1,179",35.7
OTT,77,0,0,0,0,7,31,"1,902",61.4,30,567,18.9,37,31,"1,902",61.4,"1,143",36.9
SSK,95,1,0,0,1,6,33,"2,025",61.4,31,608,19.6,41,32,"2,014",62.9,"1,226",37.2
TOR,100,2,0,0,3,1,44,"3,202",72.8,42,"1,081",25.7,72,44,"3,202",72.8,"1,489",33.8
WPG,90,1,0,0,3,2,48,"3,216",67.0,47,"1,167",24.8,62,48,"3,216",67.0,"1,796",37.4
CFL,100,6,1,0,14,,316,"20,271",64.1,303,"6,460",21.3,82,313,"20,237",64.7,"11,487",37.1
