Team,10+,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,Kickoff_returns_40+,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,FG_miss_returns_30,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,,3,46,446,9.7,91,1,1,38,758,19.9,82,0,2,1,20,20,0,0,1,0,0,1
CGY,,8,54,636,11.8,94,3,4,29,622,21.4,42,0,1,4,199,102,0,3,3,0,0,3
EDM,,5,52,602,11.6,44,0,3,25,384,15.4,62,0,2,2,41,29,0,0,0,0,0,0
HAM,,4,46,416,9.0,77,1,1,27,524,19.4,43,0,2,2,42,30,0,1,1,0,0,1
MTL,,2,42,363,8.6,33,0,1,34,749,22.0,37,0,0,2,74,47,0,1,0,0,0,0
OTT,,4,55,515,9.4,79,1,4,30,567,18.9,37,0,0,1,24,24,0,0,1,0,0,1
SSK,,6,57,776,13.6,92,2,4,31,608,19.6,41,0,1,3,152,86,0,1,2,0,0,2
TOR,,5,42,450,10.7,52,0,2,42,"1,081",25.7,72,0,3,0,0,0,0,0,0,0,0,0
WPG,,5,43,533,12.4,45,0,2,47,"1,167",24.8,62,0,3,1,7,7,0,0,0,0,0,0
CFL,184,42,437,"4,737",10.8,94,8,22,303,"6,460",21.3,82,0,14,16,559,102,0,6,8,0,0,8
