Team,GP,L,Record_W,Record_L,Home_W,Home_L,Away_W,Away_L,Scoring_PF,Scoring_PA,Scoring_Diff
BC,12,4,8,4,4,1,4,3,309.0,242.0,67.0
CGY,12,7,4,8,2,4,2,4,283.0,325.0,-42.0
EDM,12,7,2,10,1,5,1,5,219.0,315.0,-96.0
HAM,11,6,4,7,1,5,3,2,228.0,302.0,-74.0
MTL,11,5,6,5,3,3,3,2,266.0,260.0,6.0
OTT,11,7,3,8,2,3,1,5,251.0,283.0,-32.0
SSK,11,5,6,5,4,2,2,3,242.0,302.0,-60.0
TOR,10,1,9,1,5,0,4,1,348.0,234.0,114.0
WPG,12,2,9,3,5,1,4,2,374.0,257.0,117.0
2023 Total,51,44,51,51,27,24,24,27,49.4,,
In 2022,81,58,81,81,37,44,44,37,50.4,,
