Team,Att,Md,Fail,Opp_Att,Opp_Md,Opp_%
BC,16,13,3,13,9,69%
CGY,15,13,2,14,10,71%
EDM,15,12,3,16,13,81%
HAM,14,12,2,16,14,88%
MTL,10,8,2,15,14,93%
OTT,20,18,2,13,9,69%
SSK,24,19,5,12,9,75%
TOR,8,3,5,19,18,95%
WPG,13,10,3,17,12,71%
CFL,135,108,27,135,108,80%
