Team,Team Oppt,Team.1,Tot Rush Pass Pen,Opp F Rush Pass,1st_down_plays,1st_down_avg_yds,Opp_1st_dn_plays,Opp_1st_dn_avg_yds,1st_down_rush_calls,1st_down_pass_calls
BC,"2,609 2,152",BC,254 70 161 23,218 70 126,383,6.81,347,6.2,129,254
CGY,"2,450 2,465",CGY,220 76 128 16,240 100 124,369,6.64,376,6.56,154,215
EDM,"2,426 2,530",EDM,207 80 108 19,258 100 132,340,7.14,375,6.75,154,186
HAM,"1,974 2,756",HAM,200 64 123 13,231 85 129,326,6.06,350,7.87,127,199
MTL,"2,072 1,882",MTL,208 67 122 19,206 75 112,334,6.2,331,5.69,151,183
OTT,"2,028 2,544",OTT,195 84 94 17,211 54 144,341,5.95,330,7.71,155,186
SSK,"1,874 2,304",SSK,211 67 133 11,194 72 110,345,5.43,333,6.92,122,223
TOR,"2,214 1,845",TOR,199 76 109 14,209 60 133,295,7.51,330,5.59,153,142
WPG,"2,801 1,970",WPG,256 93 138 25,183 61 106,385,7.28,346,5.69,185,200
CFL,"20,448",CFL,"1950 677 1,116 157","1,950 677 1116","3,118",6.56,"3,118",6.56,"1,330","1,788"
