Team,Int,TD,LG,30+,2D_conversions,TDI,PerG,YAC,YAC,Avg_depth,Yds,SA,Runs,Dropbacks,Att,Com,Complete%,Yards,Effic,IC%,Avg,YAC,YAC
BC,10,11,71,17,62,1.10,240,40.7,"1,172",9.5,"3,635",36,18,437,383,247,64.5,"2,880",85.9,2.6,7.5,40.7,"1,172"
CGY,8,19,76,14,58,2.38,238,43.1,"1,234",10.1,"3,608",33,23,414,358,238,66.5,"2,861",99.2,2.2,8.0,43.1,"1,234"
EDM,9,14,70,19,73,1.56,261,33.9,"1,060",10.9,"3,631",30,15,379,334,231,69.2,"3,131",101.5,2.7,9.4,33.9,"1,060"
HAM,11,16,59,23,58,1.45,273,40.8,"1,224",10.9,"3,360",27,27,361,307,207,67.4,"3,002",101.5,3.6,9.8,40.8,"1,224"
MTL,16,13,68,15,78,0.81,238,32.3,843,11.1,"3,785",19,21,380,340,213,62.6,"2,613",79.4,4.7,7.7,32.3,843
OTT,16,18,95,31,76,1.13,326,44.1,"1,581",11.0,"3,756",28,22,392,342,230,67.3,"3,584",99.8,4.7,10.5,44.1,"1,581"
SSK,12,14,102,21,47,1.17,248,40.1,"1,096",12.5,"3,860",25,25,358,308,191,62.0,"2,733",89.7,3.9,8.9,40.1,"1,096"
TOR,15,21,84,13,69,1.40,305,42.8,"1,306",9.9,"3,555",37,19,416,360,258,71.7,"3,054",99.2,4.2,8.5,42.8,"1,306"
WPG,12,8,80,17,60,0.67,230,32.8,906,11.8,"4,423",34,31,441,376,221,58.8,"2,764",75.5,3.2,7.4,32.8,906
CFL,109,134,102,170,581,1.23,522,39.1,10422,10.8,"33,613",269,201,"3,578","3,108","2,036",65.5,"26,622",92.1,3.5,8.6,39.1,10422
