Team,10+,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,Kickoff_returns_40+,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,FG_miss_returns_30,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,,5,54,547,10.1,91,1,2,45,901,20.0,82,1,3,2,42,22,0,0,1,1,0,2
CGY,,11,64,804,12.6,94,4,6,38,839,22.1,42,0,2,4,199,102,0,3,4,0,0,4
EDM,,6,57,673,11.8,54,0,4,33,527,16.0,62,0,2,2,41,29,0,0,0,0,0,0
HAM,,5,52,532,10.2,77,1,2,35,649,18.5,43,0,2,2,42,30,0,1,1,0,0,1
MTL,,3,51,475,9.3,48,0,2,40,870,21.8,37,0,0,2,74,47,0,1,0,0,0,0
OTT,,4,58,540,9.3,79,1,4,33,618,18.7,37,0,0,1,24,24,0,0,1,0,0,1
SSK,,6,64,833,13.0,92,2,4,33,635,19.2,41,0,1,3,152,86,0,1,2,0,0,2
TOR,,8,47,515,11.0,52,0,2,55,"1,446",26.3,72,0,6,0,0,0,0,0,0,0,0,0
WPG,,6,50,620,12.4,45,0,2,58,"1,528",26.3,62,0,4,2,18,11,0,0,0,0,0,0
CFL,215,54,497,"5,539",11.1,94,9,28,370,"8,013",21.7,82,1,20,18,592,102,0,6,9,1,0,10
