Team,GP,Yards,Per G,Rank,Plays,yds_per_play,Rush_plays,TLs*,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,12,"4,412",367.7,3,674,6.55,212,17,"3,693",957,-238,31%,66%,3%,414,31
CGY,12,"4,013",334.4,6,664,6.04,225,5,"3,113","1,085",-185,34%,65%,1%,410,24
EDM,12,"3,914",326.2,8,591,6.62,244,5,"2,718","1,377",-181,41%,58%,1%,315,27
HAM,11,"3,619",329.0,7,595,6.08,189,5,"2,861",959,-201,32%,67%,1%,368,33
MTL,11,"3,714",337.6,5,593,6.26,223,13,"2,838","1,177",-301,38%,60%,2%,315,42
OTT,11,"3,305",300.5,9,621,5.32,255,15,"2,230","1,398",-323,41%,57%,2%,309,42
SSK,11,"3,821",347.4,4,634,6.03,212,5,"3,070",939,-188,33%,66%,1%,383,34
TOR,10,"3,775",377.5,2,496,7.61,223,9,"2,692","1,166",-83,45%,53%,2%,254,10
WPG,12,"4,667",388.9,1,664,7.03,275,23,"3,407","1,494",-234,41%,55%,3%,340,26
CFL,51,"35,240",691.0,,"5,532",6.37,"2,058",97,"26,622","10,552","-1,934",37%,###,2%,"3,108",269
