Team,Punt_returns_TD,Punt_returns_30+,Punt_returns_10+,Kickoff_returns_40+,Rk,30,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,0,2,,1,3,2,5,59,635,10.8,44,36,794,22.1,62,0,3,94,48,0,0,0,0,0
CGY,0,4,,2,5,1,7,60,752,12.5,54,48,"1,018",21.2,47,0,3,135,86,0,0,0,0,0
EDM,0,2,,2,T7,1,5,50,488,9.8,52,44,898,20.4,72,0,3,57,30,0,0,0,0,0
HAM,0,2,,8,1,1,11,43,437,10.2,39,47,"1,161",24.7,71,1,2,69,47,0,0,1,0,1
MTL,1,2,,0,4,0,2,48,437,9.1,77,44,940,21.4,39,0,2,23,12,0,1,0,0,1
OTT,1,3,,0,6,0,3,57,572,10.0,79,43,897,20.9,39,0,0,0,0,0,1,0,0,1
SSK,2,2,,3,2,0,5,64,689,10.8,94,46,"1,129",24.5,82,0,1,29,29,0,2,0,0,2
TOR,4,9,,1,9,0,10,58,899,15.5,91,34,606,17.8,41,0,0,0,0,0,4,0,0,4
WPG,1,2,,3,T7,1,6,58,630,10.9,92,28,570,20.4,43,0,4,185,102,0,1,0,0,1
CFL,9,28,215,20,,6,54,497,"5,539",11.1,94,370,"8,013",21.7,82,1,18,592,102,0,9,1,0,10
