Team,LG,S,Rec,Oppt_returns_TD,Oppt_returns_40+,Rank,No,Yards,Avg,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Regular_K/Os_No,Regular_K/Os_Yards,Regular_K/Os_Avg,Oppt_start_YdL,Oppt_start_Av_YL
BC,79,1,0,1,3,6,46,"2,830",61.5,45,901,20.0,82,45,"2,820",62.7,"1,548",35.2
CGY,82,0,0,0,2,3,38,"2,533",66.7,38,839,22.1,42,38,"2,533",66.7,"1,343",36.3
EDM,100,1,1,0,2,9,37,"2,053",55.5,33,527,16.0,62,37,"2,053",55.5,"1,447",41.3
HAM,79,0,0,0,2,7,38,"2,174",57.2,35,649,18.5,43,35,"2,132",60.9,"1,539",41.6
MTL,77,0,0,0,0,4,40,"2,656",66.4,40,870,21.8,37,40,"2,656",66.4,"1,389",35.6
OTT,77,0,0,0,0,8,34,"2,051",60.3,33,618,18.7,37,34,"2,051",60.3,"1,285",37.8
SSK,95,1,1,0,1,5,36,"2,184",60.7,33,635,19.2,41,34,"2,162",63.6,"1,265",36.1
TOR,100,2,0,0,6,1,57,"4,143",72.7,55,"1,446",26.3,72,57,"4,143",72.7,"1,978",34.7
WPG,90,1,0,0,4,2,59,"3,986",67.6,58,"1,528",26.3,62,59,"3,986",67.6,"2,262",38.3
CFL,100,6,2,1,20,,385,"24,610",63.9,370,"8,013",21.7,82,379,"24,536",64.7,"14,056",37.3
