Team,Opp_Fail,Att,Md,Fail,Opp_Att,Opp_Md
BC,0,3,3,0,1,1
CGY,0,1,1,0,1,1
EDM,0,3,2,1,3,3
HAM,1,3,3,0,4,3
MTL,0,1,0,1,1,1
OTT,1,1,1,0,2,1
SSK,1,4,3,1,4,3
TOR,0,1,1,0,3,3
WPG,1,5,4,1,3,2
CFL,4,22,18,4,22,18
