Team,C2,FG,Sgl,S/T,Oppt_TDs_PR,Oppt_TDs_KOR,Oppt_TDs_FGM,TD,C1,Oppt_TDs_Rush,Oppt_TDs_Pass,Oppt_TDs_Int,Oppt_TDs_FR,Oppt_points_Q1,Oppt_points_Q2,Oppt_points_Q3,Oppt_points_Q4,Oppt_points_OT
BC,0,3,0,0,0,0,0,1,0,0,1,0,0,0,3,3,9,0
CGY,1,3,3,0,1,0,0,4,2,1,2,0,0,8,17,1,14,0
EDM,0,8,1,0,0,0,0,2,2,0,2,0,0,7,12,14,6,0
HAM,0,5,1,1,0,0,0,8,8,5,3,0,0,29,22,10,13,0
MTL,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0
OTT,1,5,1,0,0,0,0,4,3,3,0,0,1,18,7,10,10,0
SSK,0,3,1,0,1,0,0,7,6,3,3,0,0,6,21,17,14,0
TOR,1,0,0,0,0,0,0,2,0,1,1,0,0,0,6,0,8,0
WPG,1,3,1,0,0,0,0,7,4,1,4,0,2,11,7,23,17,0
CFL,4,34,8,1,2,0,0,35,25,14,16,0,3,79,101,81,94,0
