Team,LG,S,Rec,Oppt_returns_TD,Oppt_returns_40+,No,Yards,Avg,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Regular_K/Os_No,Regular_K/Os_Yards,Regular_K/Os_Avg,Oppt_start_YdL,Oppt_start_Av_YL
BC,79,1,0,0,1,7,477,68.1,6,147,24.5,43,7,477,68.1,259,37.0
CGY,77,0,0,0,0,7,463,66.1,7,183,26.1,31,7,463,66.1,310,44.3
EDM,68,0,0,0,1,3,188,62.7,3,98,32.7,62,3,188,62.7,150,50.0
HAM,79,0,0,0,1,7,398,56.9,5,106,21.2,43,6,385,64.2,300,50.0
MTL,70,0,0,0,0,3,192,64.0,3,64,21.3,30,3,192,64.0,112,37.3
OTT,57,0,0,0,0,6,321,53.5,5,65,13.0,25,6,321,53.5,237,39.5
SSK,71,0,0,0,1,6,384,64.0,6,121,20.2,41,6,384,64.0,217,36.2
TOR,78,0,0,0,0,6,431,71.8,6,151,25.2,38,6,431,71.8,200,33.3
WPG,90,1,0,0,1,14,917,65.5,13,303,23.3,40,14,917,65.5,531,37.9
CFL,90,2,0,0,5,59,"3,771",63.9,54,"1,238",22.9,62,58,"3,758",64.8,"2,316",39.9
