Team,Avg,LG,S,I10,Oppt_returns_TD,Oppt_returns_30+,No,Yards,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Net_Avg,Net_Yd,Adjusted_Sgl,Adjusted_Cover,Adjusted_Retn,Adjusted_FP_Yds,Adjusted_Avg
BC,45.2,63,1,0,0,0,10,452,7,65,9.3,19,34.7,347,(16),-55,+0,276,27.6
CGY,50.5,77,1,2,1,1,17,859,16,157,9.8,79,38.9,662,(15),0,+6,653,38.4
EDM,44.7,62,0,2,0,1,19,850,14,159,11.4,44,36.4,691,(0),-45,+32,678,35.7
HAM,48.7,78,1,0,0,0,15,731,13,100,7.7,16,39.4,591,(17),-10,+20,584,38.9
MTL,48.9,60,0,0,0,0,8,391,7,51,7.3,14,42.5,340,(0),0,+0,340,42.5
OTT,47.6,64,1,1,0,0,14,666,11,58,5.3,23,40.6,568,(12),0,+38,594,42.4
SSK,49.7,64,0,2,1,1,10,497,9,170,18.9,92,32.7,327,(0),-30,+0,297,29.7
TOR,53.3,66,1,2,0,0,8,426,5,30,6.0,11,44.5,356,(17),-15,+8,332,41.5
WPG,49.0,59,0,0,0,0,6,294,5,48,9.6,17,41.0,246,(0),-15,+10,241,40.2
CFL,48.3,78,5,9,2,3,107,"5,166",87,838,9.6,92,38.6,"4,128",(77),-170,+114,"3,995",37.3
