Team,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_40+,30,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,0,1,0,2,3,11,103,9.4,44,3,73,24.3,30,0,2,82,48,0,0,0,0,0
CGY,0,0,1,0,1,11,66,6.0,19,6,134,22.3,43,0,1,24,24,0,0,0,0,0
EDM,0,0,0,0,0,9,73,8.1,15,4,69,17.3,19,0,1,20,20,0,0,0,0,0
HAM,0,0,1,0,1,8,47,5.9,11,13,312,24.0,40,0,0,0,0,0,0,0,0,0
MTL,0,0,0,0,0,4,33,8.3,23,3,43,14.3,25,0,0,0,0,0,0,0,0,0
OTT,1,1,0,0,1,17,179,10.5,79,8,188,23.5,31,0,0,0,0,0,1,0,0,1
SSK,0,0,1,0,1,11,116,10.5,19,8,226,28.3,62,0,0,0,0,0,0,0,0,0
TOR,0,0,0,0,0,8,52,6.5,14,3,45,15.0,21,0,0,0,0,0,0,0,0,0
WPG,1,1,2,0,3,8,169,21.1,92,6,148,24.7,43,0,0,0,0,0,1,0,0,1
CFL,2,3,5,2,10,87,838,9.6,92,54,"1,238",22.9,62,0,4,126,48,0,2,0,0,2
