Team,C1,C2,FG,Sgl,S/T,FR,PR,KOR,FGM,TD,Team_TDs_Rush,Team_TDs_Pass,Team_TDs_Int,Team_points_Q1,Team_points_Q2,Team_points_Q3,Team_points_Q4,Team_points_OT
BC,3,0,6,2,0,0,0,0,0,4,1,3,0,7,15,11,14,0
CGY,2,1,4,1,0,1,0,0,0,4,2,1,0,8,10,10,13,0
EDM,1,0,2,0,0,0,0,0,0,1,0,1,0,3,7,3,0,0
HAM,1,2,1,1,0,2,0,0,0,6,2,2,0,4,6,13,22,0
MTL,1,0,4,0,0,0,0,0,0,1,1,0,0,10,0,3,6,0
OTT,0,1,6,1,0,0,1,0,0,1,0,0,0,1,17,3,6,0
SSK,4,0,5,1,0,0,0,0,0,4,0,4,0,14,10,14,6,0
TOR,4,0,1,1,0,0,0,0,0,4,4,0,0,8,14,0,10,0
WPG,9,0,5,1,1,0,1,0,0,10,4,5,0,24,22,24,17,0
CFL,25,4,34,8,1,3,2,0,0,35,14,16,0,79,101,81,94,0
