Team,OPP_Tot,Diff,Total,20+_Rush,30+_Pass,Punt_Rets,K/O_Rets,FGM_Rets,Opp_off_20+_Rush,Opp_off_30+_Pass,Opp_kick_Punt_Rets,Opp_kick_K/O_Rets,Opp_kick_FGM_Ret
BC,2,+3,5,0,2,1,0,2,1,0,0,1,0
CGY,5,+1,6,1,4,0,1,0,0,2,1,0,2
EDM,5,-2,3,2,1,0,0,0,1,2,1,1,0
HAM,7,-4,3,0,2,0,1,0,1,5,0,1,0
MTL,1,+2,3,0,3,0,0,0,0,1,0,0,0
OTT,8,-5,3,0,2,1,0,0,1,7,0,0,0
SSK,6,+0,6,1,4,0,1,0,1,3,1,1,0
TOR,0,+1,1,0,1,0,0,0,0,0,0,0,0
WPG,6,+4,10,1,6,1,2,0,0,5,0,1,0
CFL,40,0,40,5,25,3,5,2,5,25,3,5,2
