Team,Penalties_total,Illegal_pnt,Illegal_K/O,Penalties_punt,Penalties_K/O
BC,4,1,0,4,0
CGY,3,0,0,1,2
EDM,5,2,0,4,1
HAM,6,1,1,3,3
MTL,0,0,0,0,0
OTT,2,0,1,1,1
SSK,3,0,0,3,0
TOR,2,0,0,1,1
WPG,1,0,0,1,0
CFL,26,4,2,18,8
