Team,Opp_Fail,Att,Md,Fail,Opp_Att,Opp_Md
BC,0,4,4,0,3,3
CGY,1,1,1,0,3,2
EDM,1,6,4,2,4,3
HAM,1,5,4,1,5,4
MTL,1,2,1,1,3,2
OTT,1,1,1,0,2,1
SSK,1,6,4,2,4,3
TOR,1,2,1,1,6,5
WPG,1,7,6,1,4,3
CFL,8,34,26,8,34,26
