Team,1st_downs_made_Pen,1st_downs_made_Total,1st_downs_made_Rush,1st_downs_made_Pass,Opp_1st_downs_made_Total,Opp_1st_downs_made_Rush,Opp_1st_downs_made_Pass,Opp_1st_downs_made_Pen
BC,6,72,23,43,42,15,22,5
CGY,1,56,22,33,63,25,35,3
EDM,6,39,11,22,69,28,36,5
HAM,3,49,13,33,65,23,35,7
MTL,3,32,10,19,31,4,23,4
OTT,3,28,6,19,33,12,20,1
SSK,3,65,23,39,58,21,34,3
TOR,5,48,25,18,37,9,25,3
WPG,6,67,22,39,58,18,35,5
CFL,36,456,155,265,456,155,265,36
