Team,LG,S,Rec,Oppt_returns_TD,Oppt_returns_40+,No,Yards,Avg,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Regular_K/Os_No,Regular_K/Os_Yards,Regular_K/Os_Avg,Oppt_start_YdL,Oppt_start_Av_YL
BC,79,1,0,0,2,11,713,64.8,10,232,23.2,43,11,713,64.8,385,35.0
CGY,79,0,0,0,1,11,734,66.7,11,281,25.5,42,11,734,66.7,457,41.5
EDM,68,0,0,0,1,8,430,53.8,8,129,16.1,62,8,430,53.8,301,43.0
HAM,79,0,0,0,1,12,706,58.8,10,191,19.1,43,11,693,63.0,457,41.5
MTL,72,0,0,0,0,10,663,66.3,10,205,20.5,30,10,663,66.3,341,34.1
OTT,57,0,0,0,0,6,321,53.5,5,65,13.0,25,6,321,53.5,237,39.5
SSK,71,0,0,0,1,11,658,59.8,11,209,19.0,41,11,658,59.8,414,37.6
TOR,78,0,0,0,1,12,874,72.8,12,332,27.7,72,12,874,72.8,423,35.3
WPG,90,1,0,0,1,15,989,65.9,14,319,22.8,40,15,989,65.9,555,37.0
CFL,90,2,0,0,8,96,"6,088",63.4,91,"1,963",21.6,72,95,"6,075",63.9,"3,570",38.0
