Team,OPP_Tot,Diff,Total,20+_Rush,30+_Pass,Punt_Rets,K/O_Rets,FGM_Rets,Opp_off_20+_Rush,Opp_off_30+_Pass,Opp_kick_Punt_Rets,Opp_kick_K/O_Rets,Opp_kick_FGM_Ret
BC,4,+3,7,2,2,1,0,2,1,1,0,2,0
CGY,9,-1,8,1,6,0,1,0,1,4,1,1,2
EDM,10,-3,7,2,2,2,1,0,2,6,1,1,0
HAM,12,-6,6,0,5,0,1,0,2,8,1,1,0
MTL,4,+4,8,1,6,1,0,0,0,4,0,0,0
OTT,8,-5,3,0,2,1,0,0,1,7,0,0,0
SSK,8,+2,10,2,6,0,2,0,1,5,1,1,0
TOR,4,+2,6,1,5,0,0,0,0,1,2,1,0
WPG,8,+4,12,1,7,1,3,0,2,5,0,1,0
CFL,67,0,67,10,41,6,8,2,10,41,6,8,2
