Team,FGM,T/O,Punt,Oth,Poss,TD,FG,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,2-&-Outs_2&O,2-&-Outs_%
BC,1,2,18,3,40,7,9,14,2,18,3,5,1,1,0,1,0,1,1,11,28%
CGY,2,5,24,2,46,5,8,8,0,20,3,13,1,1,0,3,1,1,0,16,35%
EDM,0,9,24,1,41,4,3,4,1,27,1,7,1,1,0,2,1,0,0,16,39%
HAM,0,10,21,3,43,4,5,6,0,24,2,7,0,4,1,1,0,1,1,17,40%
MTL,0,1,15,3,28,4,5,6,1,11,1,7,1,2,0,1,1,1,0,6,21%
OTT,1,9,14,1,31,0,6,7,0,16,0,5,0,0,0,2,0,1,0,19,61%
SSK,3,7,16,2,43,7,8,7,0,20,3,8,1,3,1,4,1,1,1,15,35%
TOR,0,3,12,1,27,8,3,6,1,11,4,5,1,0,0,5,2,0,0,8,30%
WPG,0,9,13,3,41,9,7,3,0,25,6,9,2,2,0,2,1,0,0,14,34%
CFL,7,55,157,19,340,48,54,61,5,172,23,66,8,14,2,21,7,6,3,122,36%
