Team,TD,10+,20+,yds_per_game,Opp_rush_TD_TD,Opp_rush_10+,Opp_rush_20+,Atts,Yards,Avg,1st_down_rush_Atts,1st_down_rush_Yds,1st_down_rush_Avg,QB_rush_Atts,QB_rush_Yds,QB_rush_Esc,Opp_rush_Atts,Opp_rush_Yards,Opp_rush_Avg
BC,2,8,2,111,0,6,1,67,334,5.0,44,236,5.4,23,105,7,43,230,5.3
CGY,3,12,1,108,3,11,1,60,324,5.4,45,231,5.1,16,64,5,61,326,5.3
EDM,0,6,2,59,3,11,2,42,178,4.2,25,105,4.2,16,57,4,85,448,5.3
HAM,2,6,0,58,6,8,2,40,174,4.4,27,123,4.6,8,34,3,69,339,4.9
MTL,2,2,1,74,0,2,0,38,148,3.9,26,117,4.5,9,26,2,25,92,3.7
OTT,0,3,0,48,3,4,1,25,96,3.8,17,56,3.3,7,34,3,45,174,3.9
SSK,2,10,2,115,4,12,1,64,344,5.4,35,179,5.1,13,71,5,64,308,4.8
TOR,7,10,1,152,1,5,0,61,304,5.0,43,234,5.4,12,58,1,34,121,3.6
WPG,4,9,1,114,2,7,2,71,342,4.8,44,238,5.4,12,40,4,42,206,4.9
CFL,22,66,10,187,22,66,10,468,"2,244",4.79,306,1519,4.96,116,489,34,468,"2,244",4.79
