Team,LG,S,Rec,Oppt_returns_TD,Oppt_returns_40+,Rank,No,Yards,Avg,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Regular_K/Os_No,Regular_K/Os_Yards,Regular_K/Os_Avg,Oppt_start_YdL,Oppt_start_Av_YL
BC,79,1,0,0,2,5,29,"1,777",61.3,28,561,20.0,43,28,"1,767",63.1,"1,065",38.0
CGY,82,0,0,0,1,3,27,"1,794",66.4,27,579,21.4,42,27,"1,794",66.4,937,36.0
EDM,68,0,1,0,2,9,21,"1,039",49.5,20,289,14.5,62,21,"1,039",49.5,827,43.5
HAM,79,0,0,0,2,T6,27,"1,621",60.0,24,480,20.0,43,26,"1,608",61.8,"1,048",40.3
MTL,75,0,0,0,0,4,23,"1,521",66.1,23,486,21.1,32,23,"1,521",66.1,780,35.5
OTT,77,0,0,0,0,8,22,"1,344",61.1,21,388,18.5,37,22,"1,344",61.1,812,36.9
SSK,95,1,0,0,1,T6,25,"1,495",59.8,23,446,19.4,41,24,"1,484",61.8,969,38.8
TOR,98,1,0,0,3,1,36,"2,615",72.6,35,926,26.5,72,36,"2,615",72.6,"1,221",33.9
WPG,90,1,0,0,2,2,38,"2,562",67.4,37,928,25.1,62,38,"2,562",67.4,"1,421",37.4
CFL,98,4,1,0,13,,248,"15,768",63.6,238,"5,083",21.4,72,245,"15,734",64.2,"9,080",37.5
