Team,GP,Yards,Per G,Rank,Plays,yds_per_play,Rush_plays,TLs*,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,8,"2,807",350.9,3,448,6.27,150,12,"2,286",688,-167,33%,64%,3%,265,21
CGY,8,"2,741",342.6,5,453,6.05,156,4,"2,085",767,-111,34%,65%,1%,277,16
EDM,8,"2,322",290.3,9,394,5.89,133,1,"1,837",637,-152,34%,66%,0%,238,22
HAM,8,"2,607",325.9,7,425,6.13,126,5,"2,125",609,-127,30%,69%,1%,277,17
MTL,7,"2,306",329.4,6,381,6.05,139,11,"1,877",657,-228,36%,61%,3%,202,29
OTT,8,"2,394",299.3,8,464,5.16,180,13,"1,636","1,010",-252,39%,58%,3%,238,33
SSK,8,"2,901",362.6,2,467,6.21,149,4,"2,378",670,-147,32%,67%,1%,286,28
TOR,7,"2,409",344.1,4,344,7.00,160,4,"1,687",799,-77,47%,52%,1%,170,10
WPG,8,"3,138",392.3,1,442,7.10,179,14,"2,393",912,-167,40%,56%,3%,231,18
CFL,35,"23,625",675.0,,"3,818",6.19,"1,372",68,"18,304","6,749","-1,428",36%,62%,2%,"2,184",194
