Team,PA,Avg,Avg,Diff,,PER GAME,Offensive_points_Team,Offensive_points_Avg,Offensive_points_Avg,Offensive_points_Oppt,Offensive_points_Avg,Offensive_points_Avg,GP,PF,Avg,Avg
BC,144,18.0,24.5,+6.5,,CFL-Wide:,183,22.9,16.4,131,22.9,16.4,8,196,18.0,24.5
CGY,199,24.9,23.8,-1.1,,Offence 3.74,178,22.3,21.0,168,22.3,21.0,8,190,24.9,23.8
EDM,212,26.5,13.1,-13.4,,Return 0.66,99,12.4,24.6,197,12.4,24.6,8,105,26.5,13.1
HAM,224,28.0,20.0,-8.0,,- Kick 0.20,142,17.8,26.3,210,17.8,26.3,8,160,28.0,20.0
MTL,143,20.4,22.6,+2.1,,- Defence 0.46,140,20.0,19.6,137,20.0,19.6,7,158,20.4,22.6
OTT,184,23.0,22.0,-1.0,,,152,19.0,22.3,178,19.0,22.3,8,176,23.0,22.0
SSK,202,25.3,20.5,-4.8,,,151,18.9,22.1,177,18.9,22.1,8,164,25.3,20.5
TOR,144,20.6,32.0,+11.4,,,193,27.6,18.9,132,27.6,18.9,7,224,20.6,32.0
WPG,161,20.1,30.0,+9.9,,,229,28.6,17.1,137,28.6,17.1,8,240,20.1,30.0
CFL,"1,613",46.1,46.1,,,,"1,467",41.9,41.9,"1,467",41.9,41.9,35,"1,613",46.1,46.1
