Team,GIVEAWAYS:_Dns,T/Os,Opp_Pts,OFF1 Ret2,TAKEAWAYS:_Dns,Ratio,GIVEAWAYS:_Fum,GIVEAWAYS:_Int,TAKEAWAYS:_Fum,TAKEAWAYS:_Int,Opp_team_T/O,Team_pts
BC,3,19,66,16 (3),7,+0,5,11,5,7,19,42
CGY,3,17,45,15 (2),5,-1,3,11,6,5,16,35
EDM,5,22,45,21 (1),4,-8,4,13,3,7,14,11
HAM,6,25,67,24 (1),2,-8,5,14,7,8,17,58
MTL,3,15,32,14 (1),6,+5,7,5,3,11,20,35
OTT,8,23,35,21 (2),4,+2,5,10,8,13,25,65
SSK,9,23,48,22 (1),2,-9,6,8,3,9,14,12
TOR,3,9,20,8 (1),5,+14,1,5,4,14,23,88
WPG,5,18,45,17 (1),10,+5,8,5,5,8,23,57
CFL,45,171,403,158 (13),45,2023,44,82,44,82,171,403
