Team,GP,Yards,Per G,Plays,yds_per_play,Rush_plays,Oth_TLs_Plays,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,8,"2,353",294.1,408,5.77,122,0,"1,946",600,-193,30%,70%,0%,261,25
CGY,8,"2,597",324.6,451,5.76,172,12,"1,853",903,-159,38%,59%,3%,242,25
EDM,8,"3,144",393.0,450,6.99,197,17,"2,113","1,133",-102,44%,52%,4%,219,17
HAM,8,"3,001",375.1,441,6.80,183,10,"2,230",973,-202,41%,56%,2%,224,24
MTL,7,"2,345",335.0,371,6.32,118,8,"1,799",658,-112,32%,66%,2%,232,13
OTT,8,"2,844",355.5,433,6.57,147,6,"2,517",488,-161,34%,65%,1%,259,21
SSK,8,"2,438",304.8,424,5.75,171,8,"1,850",721,-133,40%,58%,2%,227,18
TOR,7,"2,460",351.4,410,6.00,134,2,"2,079",546,-165,33%,67%,0%,250,24
WPG,8,"2,443",305.4,430,5.68,128,5,"1,917",727,-201,30%,69%,1%,270,27
CFL,35,"23,625",675.0,"3,818",6.19,"1,372",68,"18,304","6,749","-1,428",36%,62%,2%,"2,184",194
