Team,Opp_Fail,Att,Md,Fail,Opp_Att,Opp_Md
BC,3,10,9,1,10,7
CGY,4,12,11,1,13,9
EDM,3,9,7,2,9,6
HAM,1,8,6,2,10,9
MTL,1,7,6,1,8,7
OTT,3,11,9,2,9,6
SSK,2,18,13,5,10,8
TOR,1,7,3,4,13,12
WPG,3,11,8,3,11,8
