Team,T/O,Punt,Oth TD%,Poss,TD,FG,FGM,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,Opp_2&O_2&O,Opp_2&O_%
BC,15,56,5 5.1,99,5,15,3,13,0,53,2,20,0,11,3,1,0,1,0,34,34%
CGY,11,44,10 13.9,101,14,18,4,18,2,56,6,14,2,5,2,5,1,3,1,34,34%
EDM,13,44,8 15.6,109,17,24,3,24,1,59,9,14,2,8,3,4,2,0,0,36,33%
HAM,12,47,6 19.0,100,19,16,0,18,2,49,10,19,4,6,0,8,3,0,0,32,32%
MTL,16,34,3 11.0,82,9,19,1,13,1,50,4,11,1,5,1,3,0,0,0,32,39%
OTT,20,51,3 14.3,105,15,16,0,17,1,59,8,15,2,7,1,6,3,1,0,35,33%
SSK,11,50,5 14.0,100,14,18,2,12,3,56,6,19,1,5,1,8,3,0,0,37,37%
TOR,22,40,5 14.6,89,13,9,0,14,1,58,7,9,3,5,1,3,1,0,0,36,40%
WPG,18,45,3 12.8,94,12,13,3,14,2,50,6,18,0,7,1,3,1,2,2,35,37%
CFL,138,411,48 13.4,879,118,148,16,143,13,490,58,139,15,59,13,41,14,7,3,311,35%
