Team,C2,FG,Sgl,S/T,Oppt_TDs_PR,Oppt_TDs_KOR,Oppt_TDs_FGM,TD,C1,Oppt_TDs_Rush,Oppt_TDs_Pass,Oppt_TDs_Int,Oppt_TDs_FR,Oppt_points_Q1,Oppt_points_Q2,Oppt_points_Q3,Oppt_points_Q4,Oppt_points_OT
BC,0,15,1,0,1,0,0,7,6,3,2,1,0,17,33,19,25,0
CGY,3,18,6,0,3,0,0,19,12,5,9,2,0,35,50,40,53,14
EDM,2,24,4,1,0,0,0,19,16,7,10,2,0,36,52,79,45,0
HAM,0,16,2,1,1,0,0,21,19,10,9,1,0,49,65,33,50,0
MTL,0,19,2,0,0,0,0,10,10,3,6,0,1,30,35,39,25,0
OTT,1,16,4,0,0,0,0,16,8,5,10,0,1,44,36,42,27,9
SSK,1,18,5,0,2,0,0,17,15,6,8,1,0,33,51,35,56,3
TOR,2,9,0,0,0,0,0,14,9,2,11,1,0,14,36,12,62,0
WPG,3,13,3,0,0,0,0,15,9,5,7,1,2,28,27,40,46,6
CFL,12,148,27,2,7,0,0,138,104,46,72,9,4,286,385,339,389,32
