Team,0-9_yds_Effic,20+_yds_TD,20+_yds_Effic,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int
BC,109.2,10,113.5,116,102,87.9,863,0,1,50,32,64.0,550,5,1,66.3,60,26,43.3,684,4
CGY,85.0,4,84.8,166,117,70.5,"1,105",3,2,55,27,49.1,416,5,2,48.8,32,10,31.3,415,3
EDM,76.3,4,104.4,160,109,68.1,948,6,4,47,20,42.6,328,3,0,40.0,31,14,45.2,561,4
HAM,79.6,4,54.6,147,109,74.1,995,6,2,49,27,55.1,438,2,0,68.2,50,16,32.0,490,5
MTL,94.8,3,120.7,110,85,77.3,767,1,1,37,19,51.4,338,1,1,80.7,30,13,43.3,454,1
OTT,89.3,1,-35.4,143,106,74.1,892,1,1,52,26,50.0,428,4,1,52.4,22,4,18.2,142,5
SSK,90.9,4,72.1,146,116,79.5,873,4,4,59,42,71.2,690,0,1,115.8,44,15,34.1,519,4
TOR,90.5,5,159.4,82,65,79.3,561,2,1,35,21,60.0,421,1,2,109.3,32,18,56.3,548,1
WPG,108.5,6,148.7,111,92,82.9,794,2,5,50,31,62.0,529,2,2,94.5,41,17,41.5,623,0
CFL,90.3,41,95.6,"1,181",901,76.3,"7,798",25,21,434,245,56.5,4138,23,10,74.5,342,133,38.9,"4,436",27
