Team,Yards,Int,TD,LG,30+,2D_conversions,Yds_per_game,Avg_depth,Yds,SA,Esc_runs,Dropbacks,Att,Com,complete%,Effic,IC%,Avg,YAC,TDI
BC,"2,097",9,12,68,9,45,300,12.3,"2,791",19,13,258,226,160,70.8,100.8,4.0,9.3,691,1.33
CGY,"1,936",11,8,95,14,41,277,9.4,"2,366",14,8,275,253,154,60.9,77.1,4.3,7.7,884,0.73
EDM,"1,837",13,8,102,10,34,230,9.3,"2,224",22,18,278,238,143,60.1,72.8,5.5,7.7,815,0.62
HAM,"1,923",13,6,75,10,44,275,11.2,"2,753",14,8,268,246,152,61.8,72.3,5.3,7.8,772,0.46
MTL,"1,559",3,5,69,13,38,260,10.0,"1,766",27,15,219,177,117,66.1,96.2,1.7,8.8,716,1.67
OTT,"1,462",10,3,54,6,39,209,9.4,"2,034",27,31,275,217,136,62.7,67.8,4.6,6.7,613,0.30
SSK,"2,082",8,9,60,13,42,297,10.3,"2,568",28,9,286,249,173,69.5,93.5,3.2,8.4,737,1.13
TOR,"1,530",4,8,59,12,28,255,12.1,"1,809",7,5,161,149,104,69.8,109.7,2.7,10.3,555,2.00
WPG,"1,946",4,13,70,15,42,278,11.7,"2,368",18,4,224,202,140,69.3,113.2,2.0,9.6,744,3.25
CFL,"16,372",75,72,102,102,353,528,10.6,"20,679",176,111,"2,244","1,957","1,279",65.4,87.7,3.8,8.4,"6,527",0.96
