Team,C1_Miss,C2_Rsh,Pass,Def,C1_att,C1_md,C1_%,C2_att,C2_md,C2_%
BC,1,0,0,0,17,16,94.1,0,0,0
CGY,1,0,1,0,10,9,90.0,5,1,20.0
EDM,1,1,0,0,8,7,87.5,3,1,33.3
HAM,3,0,2,0,9,6,66.7,5,2,40.0
MTL,1,0,0,0,11,10,90.9,0,0,0
OTT,0,1,4,0,6,6,100.0,5,5,100.0
SSK,1,0,1,0,11,10,90.9,2,1,50.0
TOR,1,1,1,0,23,22,95.7,2,2,100.0
WPG,2,0,0,0,20,18,90.0,0,0,0
CFL,11,3,9,0,115,104,90.4,22,12,54.5
