TEAM,Opp_RZ_Pts,Att,TD,%,FG,T/O,Oth,Pts,%,Opp_Att1,Opp_TD,Opp_%,Opp_(No_TD)_FG,Opp_(No_TD)_T/O,Opp_(No_TD)_Oth
BC,49 58%,18,11,61.1,6,0,1,95,75%,12,5,41.7,5,2,0
CGY,76 64%,20,10,50.0,7,3,0,89,64%,17,8,47.1,7,2,0
EDM,115 63%,13,6,46.2,3,4,0,50,55%,26,12,46.2,10,2,2
HAM,128 70%,20,9,45.0,9,2,0,89,64%,26,15,57.7,7,3,1
MTL,66 59%,14,6,42.9,5,3,0,57,58%,16,6,37.5,8,2,0
OTT,91 72%,18,5,27.8,8,4,1,61,48%,18,10,55.6,8,0,0
SSK,87 73%,21,8,38.1,8,5,0,79,54%,17,11,64.7,3,3,0
TOR,75 67%,21,16,76.2,5,0,0,129,88%,16,9,56.3,4,3,0
WPG,84 63%,22,15,68.2,5,1,1,122,79%,19,10,52.6,4,5,0
CFL,771 66%,167,86,51.5,56,22,3,771,66%,167,86,51.5,56,22,3
