Team,Avg,LG,S,I10,Oppt_returns_TD,Oppt_returns_30+,Rnk,No,Yards,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Net_Avg,Net_Yd,Adjusted_Sgl,Adjusted_Cover,Adjusted_Retn,Adjusted_FP_Yds,Adjusted_Avg
BC,46.4,64,3,2,1,1,7,46,"2,133",32,339,10.6,91,36.4,"1,674",(30),-115,+61,"1,590",34.6
CGY,49.4,77,3,6,3,3,5,47,"2,323",38,472,12.4,94,36.8,"1,731",(41),-45,+53,"1,698",36.1
EDM,46.3,85,5,2,0,3,9,63,"2,919",47,565,12.0,44,34.2,"2,154",(52),-115,+68,"2,055",32.6
HAM,45.3,78,1,3,1,1,4,46,"2,082",37,336,9.1,77,37.1,"1,706",(17),-50,+60,"1,699",36.9
MTL,48.4,67,0,2,0,1,1,37,"1,791",31,291,9.4,33,40.5,"1,500",(0),-17,+20,"1,503",40.6
OTT,47.9,64,1,2,0,2,2,47,"2,251",37,323,8.7,36,40.2,"1,888",(12),-75,+68,"1,869",39.8
SSK,48.4,90,1,3,2,3,8,48,"2,324",40,609,15.2,92,34.9,"1,675",(20),-61,+20,"1,614",33.6
TOR,49.4,66,3,5,0,2,3,39,"1,927",31,337,10.9,52,37.7,"1,470",(32),-45,+18,"1,411",36.2
WPG,47.2,73,2,4,0,0,6,39,"1,841",30,339,11.3,30,36.5,"1,422",(2),-40,+45,"1,425",36.5
CFL,47.6,90,19,29,7,16,,412,"19,591",323,"3,611",11.2,94,36.9,"15,220",(206),-563,+413,"14,864",36.1
