Team,PA,Avg,Avg,Diff,,PER GAME,Offensive_points_Team,Offensive_points_Avg,Offensive_points_Avg,Offensive_points_Oppt,Offensive_points_Avg,Offensive_points_Avg,GP,PF,Avg,Avg
BC,94,13.4,26.0,+12.6,,CFL-Wide:,175,25.0,11.6,81,25.0,11.6,7,182,13.4,26.0
CGY,192,27.4,24.3,-3.1,,Offence 3.81,164,23.4,23.0,161,23.4,23.0,7,170,27.4,24.3
EDM,212,26.5,13.1,-13.4,,Return 0.65,99,12.4,24.6,197,12.4,24.6,8,105,26.5,13.1
HAM,197,28.1,20.9,-7.3,,- Kick 0.23,128,18.3,26.1,183,18.3,26.1,7,146,28.1,20.9
MTL,129,21.5,21.8,+0.3,,- Defence 0.42,113,18.8,20.5,123,18.8,20.5,6,131,21.5,21.8
OTT,158,22.6,21.7,-0.9,,,134,19.1,21.7,152,19.1,21.7,7,152,22.6,21.7
SSK,178,25.4,19.7,-5.7,,,125,17.9,22.7,159,17.9,22.7,7,138,25.4,19.7
TOR,124,20.7,36.2,+15.5,,,186,31.0,19.7,118,31.0,19.7,6,217,20.7,36.2
WPG,147,21.0,27.1,+6.1,,,179,25.6,18.4,129,25.6,18.4,7,190,21.0,27.1
CFL,"1,431",46.2,46.2,,,,"1,303",42.0,42.0,"1,303",42.0,42.0,31,"1,431",46.2,46.2
