Team,Opp_Fail,Att,Md,Fail,Opp_Att,Opp_Md
BC,3,8,8,0,10,7
CGY,3,9,8,1,12,9
EDM,3,9,7,2,9,6
HAM,1,8,6,2,10,9
MTL,1,7,6,1,8,7
OTT,2,8,7,1,6,4
SSK,1,15,11,4,7,6
TOR,1,6,3,3,10,9
WPG,2,11,8,3,9,7
