Team,PA,Avg,Avg,Diff,,PER GAME,Offensive_points_Team,Offensive_points_Avg,Offensive_points_Avg,Offensive_points_Oppt,Offensive_points_Avg,Offensive_points_Avg,GP,PF,Avg,Avg
BC,153,17.0,25.9,+8.9,,CFL-Wide:,220,24.4,15.6,140,24.4,15.6,9,233,17.0,25.9
CGY,236,26.2,22.1,-4.1,,Offence 4.00,187,20.8,22.8,205,20.8,22.8,9,199,26.2,22.1
EDM,250,27.8,14.9,-12.9,,Return 0.69,121,13.4,26.1,235,13.4,26.1,9,134,27.8,14.9
HAM,224,28.0,20.0,-8.0,,- Kick 0.21,142,17.8,26.3,210,17.8,26.3,8,160,28.0,20.0
MTL,155,19.4,24.9,+5.5,,- Defence 0.49,175,21.9,18.6,149,21.9,18.6,8,199,19.4,24.9
OTT,228,25.3,23.0,-2.3,,,177,19.7,23.9,215,19.7,23.9,9,207,25.3,23.0
SSK,243,27.0,19.6,-7.4,,,163,18.1,23.6,212,18.1,23.6,9,176,27.0,19.6
TOR,175,21.9,33.5,+11.6,,,230,28.8,19.6,157,28.8,19.6,8,268,21.9,33.5
WPG,190,21.1,30.9,+9.8,,,267,29.7,17.7,159,29.7,17.7,9,278,21.1,30.9
CFL,"1,854",47.5,47.5,,,,"1,682",43.1,43.1,"1,682",43.1,43.1,39,"1,854",47.5,47.5
