Team,C1_Miss,C2_Rsh,Pass,Def,C1_att,C1_md,C1_%,C2_att,C2_md,C2_%
BC,1,0,0,0,21,20,95.2,1,0,0.0
CGY,1,0,1,0,12,11,91.7,5,1,20.0
EDM,1,1,0,0,12,11,91.7,3,1,33.3
HAM,3,0,2,0,10,7,70.0,5,2,40.0
MTL,1,0,1,0,17,16,94.1,1,1,100.0
OTT,0,1,4,0,11,11,100.0,5,5,100.0
SSK,1,0,1,0,13,12,92.3,3,1,33.3
TOR,2,1,1,0,29,27,93.1,3,2,66.7
WPG,3,0,0,0,31,28,90.3,0,0,0
CFL,13,3,10,0,156,143,91.7,26,13,50.0
