TEAM,Opp_RZ_Pts,Att,TD,%,FG,T/O,Oth,Pts,%,Opp_Att1,Opp_TD,Opp_%,Opp_(No_TD)_FG,Opp_(No_TD)_T/O,Opp_(No_TD)_Oth
BC,72 61%,24,14,58.3,7,2,1,119,71%,17,7,41.2,8,2,0
CGY,97 69%,22,11,50.0,8,3,0,99,64%,20,11,55.0,7,2,0
EDM,136 67%,14,7,50.0,3,4,0,57,58%,29,15,51.7,10,2,2
HAM,142 68%,22,10,45.5,10,2,0,99,64%,30,16,53.3,9,4,1
MTL,82 62%,21,10,47.6,7,4,0,92,63%,19,8,42.1,9,2,0
OTT,138 70%,24,7,29.2,11,4,2,84,50%,28,15,53.6,12,1,0
SSK,117 73%,26,10,38.5,11,5,0,101,55%,23,14,60.9,6,3,0
TOR,96 69%,27,20,74.1,6,1,0,160,85%,20,12,60.0,4,3,1
WPG,94 58%,29,20,69.0,7,1,1,163,80%,23,11,47.8,5,7,0
CFL,974 67%,209,109,52.2,70,26,4,974,67%,209,109,52.2,70,26,4
