Team,T/O,Punt,Oth,TD%,Poss,TD,FG,FGM,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,Opp_2&O_2&O,Opp_2&O_%
BC,20,69,6,8%,130,11,21,3,17,2,69,2,26,3,13,3,3,1,2,0,48,37%
CGY,15,58,10,15%,127,19,21,4,22,2,71,9,18,3,6,2,6,1,4,2,42,33%
EDM,14,49,9,18%,122,22,25,3,26,1,66,12,18,4,8,3,4,2,0,0,40,33%
HAM,15,49,7,18%,114,21,20,2,20,2,54,12,23,4,6,0,11,3,0,0,35,31%
MTL,22,48,4,10%,110,11,23,2,17,1,67,5,16,2,5,1,4,0,1,0,43,39%
OTT,25,61,3,17%,132,22,21,0,22,1,73,12,22,4,7,1,7,4,1,0,46,35%
SSK,13,62,8,14%,129,18,25,3,16,3,71,7,23,3,6,2,11,3,2,0,50,39%
TOR,22,54,8,15%,113,17,12,0,19,1,73,9,12,4,6,2,3,1,0,0,42,37%
WPG,26,57,6,12%,122,15,15,3,17,2,65,8,26,1,8,1,4,1,2,2,46,38%
CFL,172,507,61,14.2,"1,099",156,183,20,176,15,609,76,184,28,65,15,53,16,12,4,392,36%
