Team,,C2,FG,Sgl,S/T,TM_TDs_FR,TM_TDs_PR,TM_TDs_KOR,TM_TDs_FGM,TD,C1,Team_TDs_Rush,Team_TDs_Pass,Team_TDs_Int,Team_points_Q1,Team_points_Q2,Team_points_Q3,Team_points_Q4,Team_points_OT
BC,,0,25,6,0,2,0,0,0,22,20,4,16,0,59,72,42,60,0
CGY,,1,27,3,0,2,0,0,0,17,11,7,8,0,40,66,35,49,9
EDM,,1,8,7,0,0,0,0,0,15,11,4,9,2,29,35,39,31,0
HAM,,2,19,2,0,2,0,0,0,15,7,6,6,1,19,42,59,40,0
MTL,,1,24,1,0,1,1,0,0,18,16,7,7,2,37,53,39,70,0
OTT,,5,27,3,0,1,1,0,0,17,11,6,6,3,38,67,33,55,14
SSK,,1,21,3,0,0,2,0,0,16,12,4,10,0,34,25,51,60,6
TOR,,2,13,6,0,0,3,0,0,32,27,13,13,3,63,85,57,63,0
WPG,,0,19,3,2,0,1,0,0,31,28,9,21,0,66,68,84,57,3
CFL,,13,183,34,2,8,8,0,0,183,143,60,96,11,385,513,439,485,32
