Team,GIVEAWAYS:_Dns,T/Os,Opp_Pts,OFF1 Ret2,TAKEAWAYS:_Dns,Ratio,GIVEAWAYS:_Fum,GIVEAWAYS:_Int,TAKEAWAYS:_Fum,TAKEAWAYS:_Int,Opp_team_T/O,Team_pts
BC,4,21,66,18 (3),8,+1,5,12,6,8,22,52
CGY,4,20,55,18 (2),6,-2,4,12,6,6,18,35
EDM,6,25,59,24 (1),4,-10,5,14,3,8,15,18
HAM,6,25,67,24 (1),2,-8,5,14,7,8,17,58
MTL,3,16,32,15 (1),6,+6,7,6,4,12,22,42
OTT,8,23,35,21 (2),5,+4,5,10,8,14,27,72
SSK,9,25,55,24 (1),2,-10,7,9,3,10,15,12
TOR,4,11,27,10 (1),5,+12,1,6,4,14,23,88
WPG,5,19,52,18 (1),11,+7,8,6,6,9,26,71
CFL,49,185,448,172 (13),49,2023,47,89,47,89,185,448
