Team,C2,FG,Sgl,S/T,Oppt_TDs_PR,Oppt_TDs_KOR,Oppt_TDs_FGM,TD,C1,Oppt_TDs_Rush,Oppt_TDs_Pass,Oppt_TDs_Int,Oppt_TDs_FR,Oppt_points_Q1,Oppt_points_Q2,Oppt_points_Q3,Oppt_points_Q4,Oppt_points_OT
BC,0,21,1,0,1,0,0,13,11,5,6,1,0,31,52,32,38,0
CGY,3,21,6,0,3,0,0,24,17,5,14,2,0,59,60,40,63,14
EDM,2,25,4,1,0,0,0,24,21,8,14,2,0,36,62,93,59,0
HAM,1,20,2,1,1,0,0,23,20,11,10,1,0,49,68,39,68,0
MTL,0,23,3,0,0,0,0,12,11,5,6,0,1,33,46,42,34,0
OTT,1,21,5,0,1,0,0,24,14,7,15,0,1,58,63,65,33,9
SSK,1,25,7,0,2,0,0,23,21,9,9,1,2,44,65,55,76,3
TOR,2,12,0,0,0,0,0,20,15,3,14,2,1,31,60,22,62,0
WPG,3,15,6,0,0,0,0,20,13,7,8,2,3,44,37,51,52,6
CFL,13,183,34,2,8,0,0,183,143,60,96,11,8,385,513,439,485,32
