Team,Int,TD,LG,30+,,2D_conversions,,%_YAC,Avg_depth Yds_depth,,SA,Esc_runs,Dropbacks,Att,Com,complete%,Yards,Effic,IC%,Avg,YAC,TDI,Yds_per_game
BC,20,34,78,26,0.0,115,0.0,33.7,"12.5 7,242",0.0,49,35,664,580,390,67.2,"5,431",102.3,3.4,9.4,"1,830",1.70,319
CGY,16,16,95,26,0.0,97,0.0,43.4,"8.8 4,848",0.0,31,16,596,549,350,63.8,"4,024",83.3,2.9,7.3,"1,747",1.00,252
EDM,19,22,102,25,0.0,73,0.0,42.6,"9.5 4,243",0.0,47,68,561,446,287,64.3,"3,692",88.9,4.3,8.3,"1,571",1.16,217
HAM,22,23,88,25,0.0,127,0.0,41.0,"10.3 5,753",0.0,44,34,636,558,368,65.9,"4,711",89.5,3.9,8.4,"1,931",1.05,277
MTL,16,16,69,29,0.0,97,0.0,47.8,"9.3 4,614",0.0,58,41,594,495,351,70.9,"4,364",95.2,3.2,8.8,"2,086",1.00,257
OTT,16,9,55,13,0.0,88,0.0,40.6,"9.5 4,609",0.0,68,59,610,483,323,66.9,"3,694",82.1,3.3,7.6,"1,499",0.56,217
SSK,16,18,64,25,0.0,99,0.0,35.8,"10.3 6,039",0.0,52,28,666,586,389,66.4,"4,618",89.1,2.7,7.9,"1,652",1.13,272
TOR,12,24,76,30,0.0,80,0.0,40.2,"11.8 4,979",0.0,15,22,460,423,284,67.1,"4,204",106.5,2.8,9.9,"1,689",2.00,263
WPG,15,37,71,39,0.0,100,0.0,36.5,"12.3 5,804",0.0,32,11,516,473,320,67.7,"4,738",113.1,3.2,10.0,"1,730",2.47,296
CFL,152,199,102,238,0.0,876,0.0,39.9,"10.5 48,131",0.0,396,314,"5,303","4,593","3,062",66.7,"39,476",94.1,3.3,8.6,15735,1.31,526
