TEAM,Opp_RZ_Pts,Att,TD,%,FG,T/O,Oth,Pts,%,Opp_Att1,Opp_TD,Opp_%,Opp_(No_TD)_FG,Opp_(No_TD)_T/O,Opp_(No_TD)_Oth
BC,236 67%,49,29,59.2,15,4,1,240,70%,50,26,52.0,18,6,0
CGY,187 70%,41,20,48.8,16,5,0,187,65%,38,21,55.3,14,3,0
EDM,270 68%,33,22,66.7,7,4,0,173,75%,57,29,50.9,22,3,3
HAM,256 69%,55,30,54.5,21,4,0,271,70%,53,30,56.6,15,7,1
MTL,235 66%,45,22,48.9,15,8,0,198,63%,51,27,52.9,16,8,0
OTT,279 71%,48,22,45.8,16,8,2,204,61%,56,33,58.9,20,3,0
SSK,261 76%,44,22,50.0,16,6,0,202,66%,49,31,63.3,14,4,0
TOR,210 70%,57,37,64.9,16,3,1,308,77%,43,25,58.1,12,5,1
WPG,162 63%,62,36,58.1,20,5,1,313,72%,37,18,48.6,11,8,0
CFL,"2,096 69%",434,240,55.3,142,47,5,"2,096",69%,434,240,55.3,142,47,5
