Team,,Team,% Md,Rsh_att Pass_att,C2_Def,Rsh_att Pass_att,C1_att,C1_md,C1_%,C1_miss,C2_att,C2_md
BC,,BC,0.0,0 0,0,1 2,44,43,97.7,1,3,0
CGY,,CGY,33.3,0 2,0,0 6,24,23,95.8,1,6,2
EDM,,EDM,25.0,1 0,0,2 2,34,32,94.1,2,4,1
HAM,,HAM,50.0,0 3,1,2 5,31,26,83.9,5,8,4
MTL,,MTL,20.0,0 1,0,0 5,36,34,94.4,2,5,1
OTT,,OTT,77.8,1 6,0,1 8,28,28,100.0,0,9,7
SSK,,SSK,50.0,0 3,0,0 6,28,26,92.9,2,6,3
TOR,,TOR,66.7,2 2,0,3 3,54,50,92.6,4,6,4
WPG,,WPG,33.3,0 1,0,0 3,53,48,90.6,5,3,1
CFL,,CFL,46.0,4 18,1,9 40,332,310,93.4,22,50,23
